,0
absorb,1.098612
according,1.098612
accountant,1.098612
accurately,1.098612
achieve,1.098612
actiwatch,1.098612
actually,1.098612
acute,1.098612
adaptive,1.098612
add,1.098612
added,1.098612
addition,1.098612
additional,1.098612
additionally,1.098612
adult,1.098612
aeon,1.098612
africa,1.098612
age,1.098612
ago,1.098612
agreed,1.098612
agrees,1.098612
alexander,1.098612
aligned,1.098612
allow,1.098612
amazing,1.098612
america,1.098612
amid,1.098612
analysis,0.405465
ancestor,1.098612
ancient,0.405465
angeles,1.098612
animal,1.098612
anneke,1.098612
annual,1.098612
anthropologist,1.098612
anthropology,1.098612
ape,1.098612
apparent,1.098612
appear,1.098612
appears,1.098612
approach,1.098612
appropriate,1.098612
arboreal,1.098612
arctic,1.098612
argues,1.098612
army,1.098612
arrived,1.098612
artic,1.098612
asana,1.098612
asked,1.098612
asleep,1.098612
aspect,1.098612
assessed,1.098612
assistant,1.098612
associated,1.098612
assuming,1.098612
attached,1.098612
attention,0.405465
attitude,1.098612
audit,1.098612
average,0.405465
averaged,1.098612
awake,1.098612
awareness,1.098612
away,0.405465
awoke,1.098612
bad,1.098612
balance,1.098612
band,1.098612
bare,1.098612
based,1.098612
basically,1.098612
battle,1.098612
beautiful,1.098612
beauty,1.098612
bed,0.405465
began,0.0
begin,1.098612
beginning,1.098612
belfast,1.098612
belief,1.098612
believe,1.098612
believing,1.098612
bend,1.098612
beset,1.098612
best,0.405465
better,0.0
biphasic,1.098612
bird,1.098612
blessed,1.098612
blocked,1.098612
blue,1.098612
boat,1.098612
body,0.405465
bodø,1.098612
bolivia,1.098612
boomer,1.098612
border,1.098612
bored,1.098612
bos,1.098612
boundary,1.098612
bowl,1.098612
brain,1.098612
branch,1.098612
break,1.098612
bridge,1.098612
brief,1.098612
brightly,1.098612
british,1.098612
brittany,1.098612
brønnøysund,1.098612
bucking,1.098612
bug,1.098612
build,0.0
builder,1.098612
building,1.098612
built,1.098612
burned,1.098612
burning,1.098612
burnout,1.098612
burnt,1.098612
busiest,1.098612
busy,1.098612
cabin,1.098612
california,0.405465
called,1.098612
camaraderie,1.098612
came,1.098612
camp,1.098612
campervanners,1.098612
canada,1.098612
capellini,1.098612
capital,1.098612
captive,1.098612
car,1.098612
career,1.098612
carried,1.098612
carved,1.098612
cash,1.098612
catalyse,1.098612
catch,1.098612
cathedral,1.098612
caused,1.098612
caven,1.098612
census,1.098612
central,1.098612
centre,1.098612
century,1.098612
certain,0.405465
certainly,1.098612
challenge,0.405465
challenging,1.098612
chance,1.098612
change,1.098612
changed,1.098612
character,1.098612
characteristic,1.098612
chart,1.098612
chicago,1.098612
chief,1.098612
child,0.405465
chimpanzee,1.098612
chisel,1.098612
christian,1.098612
christianity,1.098612
churn,1.098612
circadian,1.098612
circle,1.098612
circumstance,1.098612
city,1.098612
claim,1.098612
clear,1.098612
clearer,1.098612
client,1.098612
climate,0.405465
climbed,1.098612
closer,1.098612
closest,1.098612
cloud,1.098612
coach,1.098612
coast,1.098612
coastal,1.098612
coastline,1.098612
colder,1.098612
collaborated,1.098612
colleague,0.405465
collection,1.098612
come,0.405465
comfortable,1.098612
common,1.098612
commonplace,1.098612
communication,1.098612
community,1.098612
company,1.098612
compared,0.405465
completely,1.098612
compliant,1.098612
compressed,1.098612
concluded,1.098612
condition,1.098612
confident,1.098612
confirmed,1.098612
connecting,1.098612
conscious,1.098612
consider,1.098612
considering,1.098612
constant,1.098612
constantly,1.098612
construct,1.098612
constructing,1.098612
contemporary,1.098612
content,1.098612
continued,1.098612
contour,1.098612
contrast,1.098612
contributing,1.098612
cooked,1.098612
cost,1.098612
country,1.098612
couple,1.098612
course,0.405465
craggy,1.098612
create,1.098612
creation,1.098612
crossed,1.098612
crossing,1.098612
crowd,1.098612
crowded,1.098612
crucial,1.098612
cubic,1.098612
culture,0.405465
current,1.098612
currently,1.098612
cusp,1.098612
cut,1.098612
cutting,1.098612
daily,0.405465
dark,1.098612
darkness,1.098612
data,0.405465
david,1.098612
day,0.0
death,1.098612
debate,1.098612
december,1.098612
dedicate,1.098612
deep,1.098612
deeper,1.098612
defeat,1.098612
deloitte,1.098612
denuded,1.098612
depends,1.098612
depth,1.098612
descended,1.098612
described,1.098612
describes,1.098612
despite,1.098612
detour,1.098612
device,1.098612
did,0.0
diet,1.098612
differ,1.098612
difference,1.098612
different,0.0
difficult,0.405465
dinner,1.098612
disconnecting,1.098612
discover,1.098612
discovered,1.098612
discrepancy,1.098612
discussing,1.098612
dissatisfied,1.098612
documented,1.098612
doesn,1.098612
don,1.098612
drama,1.098612
draw,1.098612
dream,1.098612
dreaming,1.098612
drive,1.098612
driving,1.098612
drove,1.098612
dry,1.098612
dutch,1.098612
dwindling,1.098612
earlier,1.098612
earliest,1.098612
early,0.405465
earning,1.098612
earth,1.098612
easier,1.098612
ecologist,1.098612
edge,1.098612
eeg,1.098612
effect,1.098612
effective,1.098612
efficiency,1.098612
effort,0.405465
electric,1.098612
electroencephalography,1.098612
elemental,1.098612
email,1.098612
employee,1.098612
encountered,1.098612
end,1.098612
energy,1.098612
engineering,1.098612
enjoy,1.098612
entered,1.098612
entire,1.098612
entirely,1.098612
entrepreneurship,1.098612
environment,0.405465
equipment,1.098612
especially,1.098612
eternal,1.098612
europe,0.405465
european,1.098612
evening,1.098612
everest,1.098612
everybody,1.098612
evoking,1.098612
evolution,1.098612
evolutionary,1.098612
evolved,1.098612
exacerbating,1.098612
exactly,1.098612
example,0.405465
exceptionally,1.098612
exhausted,1.098612
exhaustion,1.098612
exhibition,1.098612
exist,1.098612
existing,1.098612
expectation,1.098612
experience,0.405465
experienced,1.098612
experiencing,0.405465
explains,1.098612
extension,1.098612
extra,1.098612
eye,0.405465
faced,1.098612
facilitated,1.098612
facing,1.098612
factor,0.405465
fairy,1.098612
familiar,1.098612
family,1.098612
far,1.098612
faster,1.098612
fastest,1.098612
fatigue,1.098612
favourite,1.098612
featured,1.098612
feel,0.0
feeling,0.405465
felt,0.0
female,1.098612
fence,1.098612
ferry,1.098612
feuding,1.098612
fewer,1.098612
field,0.405465
fifth,1.098612
filled,1.098612
filling,1.098612
final,1.098612
financial,1.098612
finish,1.098612
firm,1.098612
fissure,1.098612
fitbit,1.098612
fitting,1.098612
fjord,1.098612
flexible,1.098612
flexibly,1.098612
food,1.098612
forbidding,1.098612
forced,1.098612
forcing,1.098612
formidable,1.098612
fort,1.098612
forward,1.098612
fossil,1.098612
fractured,1.098612
freedom,1.098612
freezing,1.098612
frequent,1.098612
frequently,1.098612
friend,1.098612
friendship,1.098612
frozen,1.098612
frustration,1.098612
fuelling,1.098612
fulfilment,1.098612
fun,1.098612
function,1.098612
future,1.098612
gandhi,1.098612
gathered,1.098612
gen,1.098612
general,1.098612
generally,1.098612
generation,1.098612
gentle,1.098612
geography,1.098612
germany,1.098612
getting,1.098612
giant,1.098612
given,0.405465
giving,1.098612
glacier,1.098612
glamourised,1.098612
global,1.098612
goal,1.098612
going,0.0
good,1.098612
gorilla,1.098612
got,0.405465
gotten,1.098612
gradually,1.098612
gravitas,1.098612
great,1.098612
greater,0.405465
ground,1.098612
group,0.405465
growing,1.098612
grønsvik,1.098612
guatemala,1.098612
ha,0.0
habit,1.098612
habitable,1.098612
hadza,1.098612
half,1.098612
hand,1.098612
haraldsson,1.098612
harbour,1.098612
hard,0.405465
harder,1.098612
hardly,1.098612
haven,1.098612
having,0.405465
headed,1.098612
health,0.405465
heard,1.098612
heart,1.098612
height,1.098612
helgeland,1.098612
helgelandsbrua,1.098612
help,0.405465
helping,1.098612
henrik,1.098612
hidden,1.098612
hide,1.098612
high,0.405465
higher,0.405465
highest,1.098612
hill,1.098612
historian,1.098612
hollingdale,1.098612
home,1.098612
honour,1.098612
hope,1.098612
horizon,1.098612
horizontal,1.098612
hour,0.0
house,0.405465
household,1.098612
hugged,1.098612
human,0.405465
hunched,1.098612
hustle,1.098612
hybrid,1.098612
hypervigilance,1.098612
hypothesis,1.098612
ibsen,1.098612
ice,1.098612
icecap,1.098612
identity,1.098612
ignore,1.098612
iii,1.098612
imagine,1.098612
imago,1.098612
immune,1.098612
impact,1.098612
important,1.098612
impossible,1.098612
improvement,1.098612
inability,1.098612
including,0.405465
income,1.098612
increased,1.098612
increasing,1.098612
increasingly,0.405465
independent,1.098612
index,1.098612
industry,1.098612
inevitable,1.098612
inflation,1.098612
influencing,1.098612
information,1.098612
infrequent,1.098612
ingenuity,1.098612
inhabited,1.098612
inhospitable,1.098612
inland,1.098612
insomnia,1.098612
instability,1.098612
institute,1.098612
integrate,1.098612
intended,1.098612
intensified,1.098612
intensifying,1.098612
interesting,1.098612
involve,1.098612
ireland,1.098612
isabella,1.098612
island,1.098612
isolated,1.098612
isolation,1.098612
jaded,1.098612
jagged,1.098612
jektvik,1.098612
job,1.098612
joined,1.098612
joking,1.098612
joost,1.098612
jotunheimen,1.098612
journey,0.405465
juggling,1.098612
june,1.098612
just,0.0
keeping,0.405465
kept,1.098612
key,0.405465
kid,1.098612
kilboghamn,1.098612
killed,1.098612
kilometre,1.098612
kim,1.098612
kind,0.405465
king,1.098612
knew,0.405465
know,0.405465
knowledge,1.098612
known,0.0
kystriksveien,1.098612
laboratory,1.098612
lack,1.098612
laid,1.098612
lake,1.098612
land,0.405465
landscape,1.098612
lapped,1.098612
larger,1.098612
largest,1.098612
larsen,1.098612
late,1.098612
later,0.405465
latest,1.098612
lay,1.098612
layer,1.098612
le,0.405465
lead,1.098612
leader,1.098612
leafy,1.098612
learn,1.098612
leaving,1.098612
led,0.405465
left,1.098612
legend,1.098612
lemur,1.098612
licensed,1.098612
life,1.098612
light,1.098612
like,0.0
likely,0.405465
line,0.405465
linger,1.098612
link,1.098612
linked,1.098612
lion,1.098612
literary,1.098612
little,0.405465
live,1.098612
lived,1.098612
living,1.098612
loaded,1.098612
local,1.098612
log,1.098612
long,0.405465
longer,1.098612
longest,1.098612
look,1.098612
looking,1.098612
lookout,1.098612
loomed,1.098612
lopping,1.098612
los,1.098612
lost,0.405465
lot,0.405465
låvong,1.098612
madagascar,1.098612
maelstrom,1.098612
mainland,1.098612
maintain,1.098612
maintaining,1.098612
make,0.0
making,1.098612
mammal,1.098612
manager,1.098612
manicured,1.098612
mantra,1.098612
map,1.098612
march,1.098612
marked,1.098612
marking,1.098612
mass,1.098612
match,1.098612
matt,1.098612
max,1.098612
maybe,1.098612
meadow,1.098612
meal,1.098612
mean,0.405465
meandered,1.098612
meaningless,1.098612
meant,0.405465
measured,1.098612
median,1.098612
medieval,0.405465
medium,1.098612
member,1.098612
memory,1.098612
mental,1.098612
mentor,1.098612
mesh,1.098612
message,1.098612
metre,1.098612
mette,1.098612
microsoft,1.098612
midnight,1.098612
milestone,1.098612
millennials,1.098612
million,0.405465
minute,1.098612
miracle,1.098612
mismatch,1.098612
missing,0.405465
mississauga,1.098612
model,1.098612
modern,1.098612
money,1.098612
monkey,1.098612
morning,0.405465
mother,1.098612
motivation,1.098612
mount,1.098612
mountain,1.098612
movement,1.098612
moving,1.098612
museum,1.098612
mystery,1.098612
namibia,1.098612
nap,1.098612
napping,1.098612
narrative,0.405465
narrowed,1.098612
nation,1.098612
national,1.098612
natural,1.098612
nature,1.098612
navigating,1.098612
nearest,1.098612
nearly,0.405465
necessarily,1.098612
need,1.098612
needing,1.098612
nesna,1.098612
netflix,1.098612
neuroscientist,1.098612
new,0.0
niels,1.098612
night,0.405465
nocturnal,1.098612
noise,1.098612
normalisation,1.098612
north,0.405465
northern,0.405465
norway,1.098612
norwegian,1.098612
note,0.405465
notice,1.098612
notification,1.098612
number,0.405465
obstacle,1.098612
occasionally,1.098612
ocean,1.098612
offering,1.098612
office,1.098612
offshore,1.098612
olav,1.098612
older,1.098612
onboard,1.098612
onward,1.098612
open,1.098612
opinion,1.098612
opportunity,0.405465
optimism,1.098612
optimistic,1.098612
oracle,1.098612
organisation,1.098612
ornithology,1.098612
ought,1.098612
outcrop,1.098612
outermost,1.098612
outline,1.098612
overall,1.098612
overcame,1.098612
overwhelmed,1.098612
overwork,1.098612
ownership,1.098612
pace,1.098612
painted,1.098612
palace,1.098612
pandemic,1.098612
paper,1.098612
paradox,1.098612
park,1.098612
participant,1.098612
passage,1.098612
passed,1.098612
passing,1.098612
passion,1.098612
passionate,1.098612
past,1.098612
path,1.098612
pattern,1.098612
pay,1.098612
peak,1.098612
people,0.405465
pepperdine,1.098612
perfect,1.098612
perfectly,1.098612
perform,1.098612
perimeter,1.098612
period,0.405465
perk,1.098612
perseverance,1.098612
person,1.098612
perspective,1.098612
peter,1.098612
phase,1.098612
phone,1.098612
phrase,1.098612
pick,1.098612
picture,1.098612
piled,1.098612
pilgrimage,1.098612
pioneer,1.098612
pivoting,1.098612
pizza,1.098612
place,1.098612
plan,1.098612
planck,1.098612
planet,1.098612
planning,1.098612
plateau,1.098612
platform,0.405465
played,1.098612
playing,1.098612
point,0.0
poor,1.098612
pope,1.098612
popping,1.098612
population,1.098612
posed,1.098612
position,1.098612
positive,1.098612
possible,0.405465
potentially,1.098612
power,1.098612
predation,1.098612
predator,1.098612
predictive,1.098612
presence,1.098612
pressure,1.098612
pressured,1.098612
prevalence,1.098612
prevent,1.098612
price,1.098612
primate,1.098612
prisoner,1.098612
probably,1.098612
problem,0.405465
problematise,1.098612
procedure,1.098612
productive,1.098612
professional,1.098612
professor,1.098612
project,0.405465
promoted,1.098612
proportion,1.098612
protection,1.098612
protective,1.098612
provide,1.098612
provincial,1.098612
proxy,1.098612
psychology,1.098612
psychotherapist,1.098612
pulled,1.098612
punishment,1.098612
pursuing,1.098612
pursuit,1.098612
pushing,1.098612
putting,1.098612
queen,1.098612
question,1.098612
quickly,1.098612
quiet,1.098612
quite,1.098612
rallying,1.098612
ramification,1.098612
range,1.098612
rapid,1.098612
rate,1.098612
rattenborg,1.098612
read,1.098612
realise,1.098612
realised,1.098612
really,1.098612
reason,1.098612
reasonable,1.098612
recall,1.098612
receded,1.098612
received,1.098612
receives,1.098612
recently,1.098612
recognised,1.098612
record,1.098612
recorded,1.098612
recovery,1.098612
relationship,1.098612
relative,1.098612
relatively,1.098612
relax,1.098612
release,1.098612
released,1.098612
rem,1.098612
remains,1.098612
reminder,1.098612
remote,1.098612
remotely,1.098612
repetitive,1.098612
report,0.405465
reported,0.405465
reporting,1.098612
request,1.098612
research,0.405465
researcher,0.405465
resembled,1.098612
resembles,1.098612
respectively,1.098612
respond,1.098612
respondent,0.405465
rest,1.098612
rested,1.098612
retire,1.098612
return,1.098612
reveal,1.098612
revealed,1.098612
review,1.098612
revolutionising,1.098612
rewarded,1.098612
rhythm,1.098612
ridge,1.098612
right,0.405465
rise,0.0
rising,1.098612
risk,1.098612
rite,1.098612
riven,1.098612
road,1.098612
roadside,1.098612
rock,1.098612
rocky,1.098612
role,1.098612
rolled,1.098612
roof,1.098612
room,1.098612
rose,1.098612
route,1.098612
rugged,1.098612
rural,1.098612
safely,1.098612
safety,1.098612
said,0.0
sainthood,1.098612
salary,1.098612
saltstraumen,1.098612
samson,1.098612
san,1.098612
sandnessjøen,1.098612
savannah,1.098612
say,0.405465
scandinavian,1.098612
science,1.098612
scientist,1.098612
screen,1.098612
sea,1.098612
seek,1.098612
send,1.098612
sense,0.405465
sensor,1.098612
sentiment,1.098612
serene,1.098612
series,1.098612
service,1.098612
set,0.405465
setting,1.098612
settling,1.098612
seven,0.405465
shade,1.098612
shape,1.098612
share,1.098612
shared,1.098612
sharing,1.098612
shattered,1.098612
sheer,1.098612
shell,1.098612
shelter,1.098612
shield,1.098612
shore,1.098612
shoreline,1.098612
short,0.405465
shorter,1.098612
shortest,1.098612
shot,1.098612
showed,0.405465
showing,1.098612
shown,1.098612
sign,0.405465
significant,1.098612
similar,0.405465
similarly,1.098612
simple,1.098612
single,1.098612
sinuous,1.098612
sister,1.098612
site,1.098612
size,1.098612
sleep,1.098612
sleeping,1.098612
slept,1.098612
slightly,1.098612
sloth,1.098612
small,1.098612
smartphone,1.098612
smoothed,1.098612
snail,1.098612
snoozing,1.098612
social,0.405465
society,1.098612
sognefjellet,1.098612
solution,0.405465
son,1.098612
soon,1.098612
sophistication,1.098612
sound,1.098612
spare,1.098612
sparsely,1.098612
speak,1.098612
special,1.098612
specialising,1.098612
specie,1.098612
specifically,1.098612
spectacular,1.098612
spend,0.405465
spending,1.098612
spent,1.098612
spirit,1.098612
spread,1.098612
stage,1.098612
standard,1.098612
star,1.098612
stared,1.098612
stark,1.098612
start,0.405465
started,0.405465
stay,0.405465
stayed,1.098612
steep,1.098612
steeply,1.098612
steinkjer,1.098612
step,1.098612
sticking,1.098612
stiklestad,1.098612
stilted,1.098612
stokkvågen,1.098612
stone,1.098612
stop,1.098612
stopped,1.098612
story,0.405465
strain,1.098612
strait,1.098612
strange,1.098612
stress,1.098612
stressed,1.098612
stressor,1.098612
stretch,1.098612
strong,1.098612
strongest,1.098612
struggle,0.0
studied,1.098612
study,0.405465
studying,0.405465
subplot,1.098612
subsequently,1.098612
suck,1.098612
suddenly,1.098612
suffering,1.098612
suggests,0.405465
summer,1.098612
summit,1.098612
sun,1.098612
superpower,1.098612
sure,1.098612
surely,1.098612
surface,1.098612
surging,1.098612
surprise,1.098612
surprising,1.098612
survey,0.405465
suspect,1.098612
svartisen,1.098612
swept,1.098612
syv,1.098612
søstre,1.098612
taken,1.098612
talked,1.098612
talking,0.405465
tamarin,1.098612
tamed,1.098612
taming,1.098612
tanzania,1.098612
task,0.0
team,0.405465
technically,1.098612
tell,0.405465
telling,0.0
temporary,1.098612
term,1.098612
terrain,1.098612
text,1.098612
thing,0.405465
think,0.405465
threat,1.098612
threatens,1.098612
tidal,1.098612
tie,1.098612
time,0.0
timed,1.098612
tiny,1.098612
tired,1.098612
today,1.098612
told,1.098612
toll,1.098612
tomb,1.098612
tomorrow,1.098612
tongue,1.098612
torghatten,1.098612
toronto,1.098612
total,1.098612
town,1.098612
tracing,1.098612
traded,1.098612
traffic,1.098612
transitioned,1.098612
travelling,1.098612
tree,0.405465
trend,1.098612
trip,1.098612
triumph,1.098612
troll,1.098612
trondheim,1.098612
trouble,1.098612
true,1.098612
trying,1.098612
tsimane,1.098612
tunnel,1.098612
turn,1.098612
turned,1.098612
turning,1.098612
twig,1.098612
type,1.098612
typical,1.098612
understanding,0.405465
understood,1.098612
unemployed,1.098612
unfurls,1.098612
unified,1.098612
unify,1.098612
unique,1.098612
united,1.098612
university,0.405465
unless,1.098612
unloaded,1.098612
unrealistic,1.098612
unseen,1.098612
unusual,1.098612
unwind,1.098612
use,1.098612
used,1.098612
various,1.098612
vast,1.098612
vertigo,1.098612
view,1.098612
viking,1.098612
village,1.098612
visiting,1.098612
visser,1.098612
vivid,1.098612
volume,1.098612
wa,0.0
wait,1.098612
waited,1.098612
wake,1.098612
wall,0.405465
want,0.405465
war,1.098612
warm,1.098612
wasn,1.098612
watch,1.098612
watched,1.098612
watching,1.098612
water,1.098612
waterfall,1.098612
way,0.0
wear,1.098612
weaving,1.098612
website,1.098612
week,0.405465
weekend,1.098612
weird,1.098612
wellness,1.098612
went,1.098612
west,1.098612
whirlpool,1.098612
widespread,1.098612
wild,1.098612
wilder,1.098612
wildly,1.098612
willing,1.098612
willingness,1.098612
wish,1.098612
won,1.098612
wonder,1.098612
wooden,1.098612
work,0.0
worked,0.405465
worker,1.098612
workforce,1.098612
working,0.405465
workplace,1.098612
world,0.405465
worried,1.098612
worrying,1.098612
worst,1.098612
worthwhile,1.098612
wouldn,1.098612
wrap,1.098612
year,0.0
yes,1.098612
yetish,1.098612
young,1.098612
younger,1.098612
youngest,1.098612
youth,1.098612
zers,1.098612
zone,1.098612
zoo,1.098612
zoom,1.098612
